id;title;message;type;timestamp
7IKrGOoL9nTVLahwGT17;Notification Center added (v0.3.3);Here you'll find news about the game.;Feature;2025-09-09T08:51:12.160Z
zYtpJ5YmtJOu6TWCIGLJ;Cooldown percentage display (v0.3.4);Cooldown reduction now shows the correct percentage value on upgrade buttons.;Fix;2025-09-10T09:34:52.607Z
8dyI5qcQQAy8roTOhCkP;Persistent Leaderboard Checkpoints (v0.3.5);Checkpoints now persist across reloads, preventing unintentional double shows. Multiple reached checkpoints display sequentially.;Fix;2025-09-13T19:31:11.259Z
qW159TpmyZIByCbpZCVT;Rebalancing & Next Share Cost Display (v0.3.6);Floating Clicker Upgrades become more expensive more quickly. Prestige Modal shows the price of the next share.;Feature;2025-09-13T20:23:21.284Z
d08QoLavL0Iz4TGWV6im;AutoBuyer Buffer Badge (v0.3.7);The AutoBuyer button now displays a yellow badge when a Money Buffer is set, making it easy to see at a glance if a buffer is active. The badge remains green when the AutoBuyer is simply enabled.;Feature;2025-09-16T12:14:41.726Z
4b0e4b0e4b0e4b0e4b0e;Unified In-App Notifications (v0.4.1);All in-app notifications are now delivered centrally and consistently, providing a unified experience for all messages and alerts.;Feature;2025-09-16T21:45:10.600Z
rX8pLm9qN4vK2tY7wE3s;AutoBuyer Quick Toggle (v0.4.2);The AutoBuyer button now supports double-press to quickly toggle all unlocked AutoBuyers at once, eliminating the need to open the modal for bulk enable/disable actions.;Feature;2025-09-18T14:16:21.080Z
J5xysTs9YhR21uR530BZ;Critical Clicks in Money/s (v0.4.3);Critical Clicks are now correctly included in the manual money per second calculation, making the stats more accurate.;Fix;2025-09-18T16:51:00.000Z
K2L3M4N5P6Q7R8S9T0U1;Settings Refactoring & Small Prestige Rebalancing (v0.4.4);All settings buttons were converted into switches for a more modern experience, and prestige values received minor balancing adjustments.;Feature;2025-09-21T12:00:00.000Z
V7W8X9Y0Z1A2B3C4D5E6;Third-Party Licenses (v0.4.5);The About section now includes information about the open-source libraries used in this game.;Feature;2026-01-11T12:00:00.000Z
F0G1H2J3K4L5M6N7P8Q9;Fun & Progression Update (v0.5.0);Progression is now clearer with a roadmap card, investments have distinct boost roles, and Wealth Production adds route choices, timing bonuses, and rare finishes after prestige.;Feature;2026-04-19T12:00:00.000Z
K9L8M7N6P5Q4R3S2T1U0;Floating Click Value Autobuyer (v0.5.1);A new autobuyer for the 'Floating Click Value' premium upgrade is now available.;Feature;2026-04-20T14:00:00.000Z
P2Q3R4S5T6U7V8W9X0Y1;UI & Save Improvements (v0.5.2);Mobile AutoBuyer UI is more usable, the Settings Modal is clearer, and Cloud Saving is now fixed.;Feature;2026-04-21T22:05:05.000Z
A1B2C3D4E5F6G7H8J9K0;Investment Scaling & UI Polish (v0.5.3);Investments now scale dynamically with new price and income multipliers. Added Dark Mode support for the Boost Investment Meter.;Feature;2026-04-27T12:00:00.000Z
L1M2N3O4P5Q6R7S8T9U0;UI Improvements & Fixes (v0.5.4);Crafting cards now fully support Dark Mode. The floating money banner can now be toggled in settings and displays money/second.;Feature;2026-04-27T15:00:00.000Z
